document_id,title,publish_date,session,authors,ctr,category,tags,views,depth,full_reads_percent
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,Европейский банк развития приостановил доступ Москвы и Минска к финансам,2022-04-04 10:29:44,IDE7mtH4RBqGn-8MXfGffQ,[],1.58,5409f11ce063da9c8b588a18,"['55928d339a794751dc8303d6', '542d1e28cbb20f862ac2c1f6', '5409f140e063daa0f408ad1d', '55797e339a794789759c64a1']",20460,1.134,35.85
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,Кремль назвал регулярным процессом учебные запуски баллистических ракет,2022-02-18 10:00:39,KtVJsteHStO5oditt3Uvzw,"['54244e01cbb20f03076b236d','5878a2ec9a7947e531faf52c']",1.853,5409f11ce063da9c8b588a12,"['549d25df9a794775979561d2', '58abcf539a7947f18bc079eb', '5409f196e063daa0f408ae67']",19038,1.142,38.355
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,"Госсекретарь Швеции заявила о нежелании вступать в НАТО из-за Украины
                
                                                    

    

    Политика, 07:24",2022-02-12 04:24:02,hk7puWJwSziw0m3sfTkKWA,[],0.0,5409f11ce063da9c8b588a12,"['5430f451cbb20f73931ecd05', '5409f15de063daa0f408ada8', '5409f196e063daa0f408ae65']",51151,1.185,36.424
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,"Песков назвал прагматичной выдачу лицензии Газпромбанку на платежи за газ
                
                                                    

    

    Политика, 16:24",2022-04-22 13:24:55,7UKY2SSZTjCcjhwBzxw37w,[],0.0,5409f11ce063da9c8b588a12,"['5409f297e063daa0f408b11c', '545caa9ecbb20f366651641e', '54254853cbb20f240250ba32', '5409f20ee063daa0f408af99', '5409f1afe063daa0f408aeb7']",3782,1.053,30.169
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,"В Хабаровске задержали главу филиала РАНХиГС по обвинению в мошенничестве
                
                                                    

    

    Общество, 13:42",2022-04-25 10:42:23,wuMYES90REuV5YhrN75IXg,[],0.0,5433e5decbb20f277b20eca9,"['5409f42ae063daa0f408b5d7', '585c20e19a79470efec59e76', '54b904fa9a79473ac6beefe9', '55928d4f9a794751dc830678', '543ec15ecbb20f6e1fde87aa', '5409f14fe063daa0f408ad6b']",3065,1.063,34.617
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,"Глава ВОЗ заявил о росте смертности из-за COVID в большинстве частей мира
                
                                                    

    

    Общество, 19:40",2022-02-01 16:40:14,HdvjUgVbRcax7cj-ve1N0Q,[],0.0,5433e5decbb20f277b20eca9,"['5425e055cbb20f23bc9f131d', '5577f72f9a7947f6177effbc', '5489661a2ae5969de17286e8', '56a88f629a7947f5e7e9ce5f']",23513,1.14,36.154
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,Третий за день губернатор объявил об уходе,2022-05-10 12:37:37,NNfiRkZcQ5atkhebUrnu0A,[],11.49,5409f11ce063da9c8b588a12,"['58a43d329a794739fedd7225', '54dc84b69a79477970b4fd42']",18013,1.059,36.796
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,Губернатор сообщил о попытке самолета ВСУ попасть в Брянскую область,2022-04-30 06:57:29,sV2ku2yISbSzagjLrginBQ,[],8.134,5433e5decbb20f277b20eca9,"['547cab2ccbb20f10e6f78407', '543e6d52cbb20fa8f2813058', '5409f19be063daa0f408ae7a', '54a3bc719a79475cf558319d', '5592b47a9a7947de211fce6e']",40870,1.038,29.638
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,"Антонов заявил о межпартийном консенсусе США по санкциям против России
                
                                                    

    

    Политика, 22:39",2022-02-09 19:39:13,dkFlm-iEQYeqM6cd9yIasQ,[],0.0,5409f11ce063da9c8b588a12,"['54d510c19a7947184f116809', '58a5cb9c2ae596a9d2b67ee5', '5409f294e063daa0f408b111']",9059,1.135,32.608
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,"Опубликовавшая время вторжения The Mirror написала, что его не произошло
                
                                                    

    

    Политика, 13:11",2022-02-16 10:11:54,62BHNYaBQxuQFf7YBtqlPw,[],0.0,5409f11ce063da9c8b588a12,"['5883d50f9a7947eac61a7dc5', '5409f17fe063daa0f408ae28', '56f4b2949a794741458a272c']",4923,1.162,54.763
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,Медведев обвинил Зеленского в выдвижении «невыполнимых ультиматумов»,2022-05-26 18:35:02,pvilXnBrSLqfn89Qq7bHzA,['5a9fa2e39a79470cd086f61a'],4.392,5409f11ce063da9c8b588a12,"['543283d8cbb20f35cbd0f765', '5409f15de063daa0f408ada8', '59e769ab9a794784016dbf12', '5409f200e063daa0f408af68', '614cb40f9a79477066594352', '621a3d0c9a794728d449ae5e']",13756,1.06,31.47
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,"SpaceX запустила ракету Falcon 9 с итальянским радиолокационным спутником
                
                                                    

    

    Технологии и медиа, 04:25",2022-02-01 01:25:04,gR1LM-aIRNyqXPsZGqI6zw,[],0.0,540d5ecacbb20f2524fc050a,"['5409f21ee063daa0f408afc1', '54731372cbb20f270ebe0b6f', '5748bfbc9a79472ddf672c10', '54afcb049a7947629823e6ee']",3411,1.19,26.239
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,"Reuters узнал, что в КНДР сочли неискренней помощь США по COVID-19
                
                                                    

    

    Политика, 07:39",2022-05-22 04:39:41,TI9y4TQWQHuLVf87SvVmGQ,[],0.0,5409f11ce063da9c8b588a12,"['5428d8aecbb20f531f21a38c', '5409f15ee063daa0f408adb0', '5e8ec7799a7947848604a99e', '5577f72f9a7947f6177effbc', '542498c7cbb20feba0485f3b']",3379,1.069,49.541
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,"«Известия» показали кадры с места пропажи экс-замглавы Минюста Ялунина
                
                                                    

    

    Политика, 04:47",2022-02-06 01:47:01,fSwCbTLUREu_L6u462dTwQ,[],0.0,5409f11ce063da9c8b588a12,"['5409f3a9e063daa0f408b36c', '5409f14fe063daa0f408ad68']",27320,1.185,41.706
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,"Захарова предупредила об ответных мерах России на британские санкции
                
                                                    

    

    Политика, 16:14",2022-02-04 13:14:01,G8qFGLiOT8qEB3UHMKcPfg,[],0.0,5409f11ce063da9c8b588a12,"['556e926a9a794721a7851f18', '5409f1a3e063daa0f408ae98', '5409f294e063daa0f408b111', '5409f1afe063daa0f408aeb7']",17950,1.159,33.682
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,"Производители алкоголя сообщили о проблемах с поставками из-за DDoS-атак
                
                                                    

    

    Бизнес, 09:54",2022-05-05 06:54:03,GZPvFDppRx6SRCCaW2uEwQ,['5a9fa2e39a79470cd086f61a'],0.0,540d5eafcbb20f2524fc0509,"['5409f293e063daa0f408b104', '544bcba1cbb20fef45039e6e', '54e43fda9a7947beb7a1d5d0']",5399,1.079,28.413
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,Боррель заявил об истощении военных запасов ЕС из-за поддержки Украины,2022-05-22 21:23:46,50tIkSGVSf2O8XQgk_uaHQ,[],3.859,5409f11ce063da9c8b588a12,"['6022cc509a794709b1aaa7f1', '5409f168e063daa0f408add3', '542b9627cbb20f572a4d3a9f', '54cf8b859a794771252ddf0b']",7012,1.052,31.204
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,Шойгу сообщил о расширении контроля над территориями ДНР и ЛНР,2022-05-04 09:03:50,g8VPM0yiT1qxfIwTKdXtLQ,['5a9fa2e39a79470cd086f61a'],8.916,5409f11ce063da9c8b588a12,"['5436346acbb20f86b01e0401', '5409f191e063daa0f408ae5c', '5409f1a2e063daa0f408ae94', '5409f15de063daa0f408ada8', '621a3d0c9a794728d449ae5e']",41626,1.075,22.188
